min,max
0.064 ,0.444 
0.013 ,0.421 
0.087 ,0.376 
0.195 ,0.563 
0.114 ,0.518 
0.076 ,0.596 
0.081 ,0.472 
0.030 ,0.535 
0.049 ,0.684 
0.107 ,0.449 
0.062 ,0.345 
0.153 ,0.401 
0.102 ,0.523 
0.087 ,0.630 
0.037 ,0.425 
0.078 ,0.252 
0.124 ,0.320 
0.091 ,0.447 
0.121 ,0.350 
0.184 ,0.616 
0.032 ,0.452 
0.068 ,0.403 
0.109 ,0.547 
0.066 ,0.508 
0.041 ,0.347 
0.096 ,0.655 
0.206 ,0.466 
0.200 ,0.542 
0.095 ,0.502 
0.097 ,0.440 
0.124 ,0.333 
0.109 ,0.471 
0.062 ,0.475 
0.106 ,0.379 
0.149 ,0.395 
0.038 ,0.593 
0.056 ,0.335 
0.063 ,0.423 
0.080 ,0.398 
0.079 ,0.260 
0.078 ,0.512 
0.042 ,0.272 
0.142 ,0.501 
0.266 ,0.572 
0.166 ,0.447 
0.022 ,0.559 
0.052 ,0.265 
0.045 ,0.346 
0.058 ,0.242 
0.043 ,0.449 
0.159 ,0.300 
0.143 ,0.611 
0.011 ,0.362 
0.002 ,0.304 
0.036 ,0.383 
0.089 ,0.385 
0.094 ,0.401 
0.062 ,0.255 
0.110 ,0.268 
0.065 ,0.375 
0.110 ,0.376 
0.071 ,0.310 
0.105 ,0.322 
0.084 ,0.374 
0.122 ,0.379 
0.131 ,0.428 
0.124 ,0.318 
0.162 ,0.348 
0.190 ,0.392 
0.140 ,0.368 
0.134 ,0.395 
0.070 ,0.327 
0.042 ,0.348 
0.086 ,0.378 
0.051 ,0.287 
0.075 ,0.211 
0.109 ,0.339 
0.017 ,0.425 
0.090 ,0.272 
0.217 ,0.415 
0.105 ,0.497 
0.069 ,0.531 
0.045 ,0.232 
0.067 ,0.386 
0.134 ,0.385 
0.108 ,0.405 
0.025 ,0.399 
0.126 ,0.337 
0.136 ,0.383 
0.124 ,0.300 
0.094 ,0.462 
0.135 ,0.440 
0.138 ,0.477 
0.076 ,0.460 
0.079 ,0.527 
0.180 ,0.617 
0.134 ,0.568 
0.090 ,0.333 
0.133 ,0.319 
0.178 ,0.298 
0.109 ,0.223 
0.108 ,0.367 
0.159 ,0.507 
0.061 ,0.247 
0.013 ,0.274 
0.109 ,0.351 
0.131 ,0.262 
0.019 ,0.271 
0.191 ,0.294 
0.137 ,0.275 
0.233 ,0.462 
0.158 ,0.489 
0.296 ,0.488 
0.157 ,0.488 
0.184 ,0.459 
0.221 ,0.549 
0.203 ,0.278 
0.178 ,0.394 
0.202 ,0.559 
0.164 ,0.408 
0.142 ,0.457 
0.126 ,0.305 
0.157 ,0.211 
0.154 ,0.223 
0.176 ,0.437 
0.150 ,0.398 
